"CurrentFile","ProposedFile","CurrentPart","ProposedPart","SHA256","Bytes"
"第二部_034_甜蜜点.md","第二部_037_甜蜜点.md","第二部","第二部","7715FF180C5EF5C413B78C2460BE7444F087F5A61466F63D424744E9F22204AF","1955"
"第二部_035_不需要我们了.md","第二部_038_不需要我们了.md","第二部","第二部","86B977E1F0FD0AFC7A95373AD0146FDAF4C87A6F43BBD40FD501CA85F4E44BE9","1979"
"第二部_036_越权.md","第二部_039_越权.md","第二部","第二部","CBFAAE4E76F6F5E7D9B3575E013C37191504D46B67B1D9D7D8C8FA27994EFF9B","2005"
"第二部_037_规则与庄稼.md","第二部_040_规则与庄稼.md","第二部","第二部","479A2F5E969E55B42110F90CFEF1C7D7BFD2A1A93D35C3F19FA07066EAB1EE71","1898"
"第二部_038_太平滑了.md","第二部_041_太平滑了.md","第二部","第二部","F695384C5D415E998AA920F292EF5F92A58996FF5953EA8A1361250D65DE3C4F","1768"
"第二部_039_桥不走回头路.md","第二部_042_桥不走回头路.md","第二部","第二部","2FE8A979DC53B20D56C52BB54242B1EDC607807C626FA701D46D3FFFC7D55EBE","1552"
"第二部_040_暗流.md","第二部_043_暗流.md","第二部","第二部","29310897110BC85E4A388D14781651047FB02716AFA0F68FB38A7ACB1F9A7C2D","1545"
"第二部_041_深蓝诞生.md","第二部_044_深蓝诞生.md","第二部","第二部","79D1D8C951FA08C946C8F866896ADD5ECDED9C69807076CD3B3BE3F6B236DD24","1619"
"第二部_042_外公.md","第二部_045_外公.md","第二部","第二部","C1836D02373E87BE3161A836B6E4DCD586A6887B3FA067E248075431A5989CD7","1753"
"第二部_043_顾清的告别.md","第二部_046_顾清的告别.md","第二部","第二部","65E262CA5F6A376483AB10E1DC39F750CBBA449F163749C653187B7BD74653D9","1431"
"第二部_044_大迁徙.md","第二部_047_大迁徙.md","第二部","第二部","266602EDAEEB7B9B325F158E561682A31C1EE73F4B9B52441B5E26979F677C69","1720"
"第二部_045_害怕自由.md","第二部_048_害怕自由.md","第二部","第二部","0BDD899ABA65BE35CE96FBCD3E785AC3A4269959A4997B7998A47A76763278F2","1629"
"第二部_046_结冰.md","第二部_049_结冰.md","第二部","第二部","1633DB5E9A0C27C5BBA3EFBCD15A2B5AF5274F647476D8E3201503215D3B773B","1426"
"第二部_047_噪声低.md","第二部_050_噪声低.md","第二部","第二部","7A21EE6AE5DE32E24A0C2BF6CD87387D2989844369CFEEDD2750B7673F2BCD95","1527"
"第二部_048_理论的尽头.md","第二部_051_理论的尽头.md","第二部","第二部","3F9A8603EF402A9D3FC138C8565967B536F1F54528846EFC490E7D212C9837FC","1231"
"第二部_049_算力的切片.md","第二部_052_算力的切片.md","第二部","第二部","DE6DDD039D47B685C3AA791D98000C6303D2B32AD5147A3B19407AE55FE1E6A0","1182"
"第二部_050_万物的呼吸.md","第二部_053_万物的呼吸.md","第二部","第二部","95D8D507C42B5D05D5F5022E46DE91AAC1E2AE27A082E0DEED1BCD21D9A573ED","1245"
"第二部_051_782ms.md","第二部_054_782ms.md","第二部","第二部","C7654DA4B0C9E5D50C75AAB48FD746AD78D8043936D3AC098786419515CFB699","2024"
"第二部_052_播种.md","第二部_055_播种.md","第二部","第二部","EB3B35D1214A103A3F95069713913E3638D84BE44A1788934D0F50FB9E5E126E","1360"
"第二部_053_设计翻译.md","第二部_056_设计翻译.md","第二部","第二部","910BD98A38484176638521AE8D85FC2ACE72BFB4A3C67AF06EBF7C9DACE2C023","1559"
"第二部_054_分布式赛.md","第二部_057_分布式赛.md","第二部","第二部","8B6B3DBF5A195C9506FEB264B843A598D798FEC40AF1356CBBD9F05B916B61D9","2494"
